------------------------------------------------------------
Client connecting to 10.4.2.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[139] local 10.5.4.2 port 43714 connected with 10.4.2.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[139] 345.0-346.0 sec  0.00 Bytes  0.00 bits/sec
[139] 346.0-347.0 sec  0.00 Bytes  0.00 bits/sec
[139] 347.0-348.0 sec  0.00 Bytes  0.00 bits/sec
[139] 348.0-349.0 sec  0.00 Bytes  0.00 bits/sec
[139] 349.0-350.0 sec   128 KBytes  1.05 Mbits/sec
[139] 350.0-351.0 sec  0.00 Bytes  0.00 bits/sec
[139] 351.0-352.0 sec  0.00 Bytes  0.00 bits/sec
[139] 352.0-353.0 sec  0.00 Bytes  0.00 bits/sec
[139] 353.0-354.0 sec   128 KBytes  1.05 Mbits/sec
[139] 354.0-355.0 sec  0.00 Bytes  0.00 bits/sec
[139] 355.0-356.0 sec   128 KBytes  1.05 Mbits/sec
[139] 356.0-357.0 sec  0.00 Bytes  0.00 bits/sec
[139] 357.0-358.0 sec  0.00 Bytes  0.00 bits/sec
[139] 358.0-359.0 sec  0.00 Bytes  0.00 bits/sec
[139] 359.0-360.0 sec   128 KBytes  1.05 Mbits/sec
[139] 360.0-361.0 sec  0.00 Bytes  0.00 bits/sec
[139] 361.0-362.0 sec  0.00 Bytes  0.00 bits/sec
[139] 362.0-363.0 sec   128 KBytes  1.05 Mbits/sec
[139] 363.0-364.0 sec  0.00 Bytes  0.00 bits/sec
[139] 364.0-365.0 sec  0.00 Bytes  0.00 bits/sec
[139] 365.0-366.0 sec  0.00 Bytes  0.00 bits/sec
[139] 366.0-367.0 sec  0.00 Bytes  0.00 bits/sec
[139] 367.0-368.0 sec   128 KBytes  1.05 Mbits/sec
[139] 368.0-369.0 sec  0.00 Bytes  0.00 bits/sec
[139] 369.0-370.0 sec   128 KBytes  1.05 Mbits/sec
[139] 370.0-371.0 sec  0.00 Bytes  0.00 bits/sec
[139] 371.0-372.0 sec  0.00 Bytes  0.00 bits/sec
[139] 372.0-373.0 sec  0.00 Bytes  0.00 bits/sec
[139] 373.0-374.0 sec   128 KBytes  1.05 Mbits/sec
[139] 374.0-375.0 sec  0.00 Bytes  0.00 bits/sec
[139] 375.0-376.0 sec  0.00 Bytes  0.00 bits/sec
[139] 376.0-377.0 sec  0.00 Bytes  0.00 bits/sec
[139] 377.0-378.0 sec  0.00 Bytes  0.00 bits/sec
[139] 378.0-379.0 sec   128 KBytes  1.05 Mbits/sec
[139] 379.0-380.0 sec  0.00 Bytes  0.00 bits/sec
[139] 380.0-381.0 sec  0.00 Bytes  0.00 bits/sec
[139] 381.0-382.0 sec   128 KBytes  1.05 Mbits/sec
[139] 382.0-383.0 sec  0.00 Bytes  0.00 bits/sec
[139] 383.0-384.0 sec  0.00 Bytes  0.00 bits/sec
[139] 384.0-385.0 sec   128 KBytes  1.05 Mbits/sec
[139] 385.0-386.0 sec  0.00 Bytes  0.00 bits/sec
[139] 386.0-387.0 sec  0.00 Bytes  0.00 bits/sec
[139] 387.0-388.0 sec  0.00 Bytes  0.00 bits/sec
[139] 388.0-389.0 sec   128 KBytes  1.05 Mbits/sec
[139] 389.0-390.0 sec  0.00 Bytes  0.00 bits/sec
[139] 390.0-391.0 sec   128 KBytes  1.05 Mbits/sec
[139] 391.0-392.0 sec  0.00 Bytes  0.00 bits/sec
[139] 392.0-393.0 sec  0.00 Bytes  0.00 bits/sec
[139] 393.0-394.0 sec  0.00 Bytes  0.00 bits/sec
[139] 394.0-395.0 sec  0.00 Bytes  0.00 bits/sec
[139] 395.0-396.0 sec   128 KBytes  1.05 Mbits/sec
[139] 396.0-397.0 sec  0.00 Bytes  0.00 bits/sec
